medicine,uses,side_effects,dosage,interactions,category
Dextromethorphan,Cough suppression,"Drowsiness, dizziness","30mg every 6-8 hours","Avoid with MAOIs or SSRIs",Common Cold/Cough
Guaifenesin,Mucus thinning expectorant,"Nausea, stomach upset","400-600mg every 4 hours","Avoid with certain cough suppressants",Common Cold/Cough
Pseudoephedrine,Nasal decongestant,"Insomnia, high blood pressure","60mg every 4-6 hours, max 240mg/day","Avoid with MAOIs or high BP meds",Common Cold/Cough
Chlorpheniramine,Allergy cold symptoms,"Drowsiness, dry mouth","4mg every 4-6 hours","Avoid with alcohol or sedatives",Common Cold/Cough
Brompheniramine,Cold allergy symptoms,"Drowsiness, dizziness","4mg every 4-6 hours","Avoid with MAOIs",Common Cold/Cough
Phenylephrine,Nasal decongestant,"High blood pressure, headache","10mg every 4 hours","Avoid with MAOIs",Common Cold/Cough
Lozenges,Sore throat relief,"Mouth irritation","1 lozenge every 2-3 hours","Avoid if allergic to menthol",Common Cold/Cough
Loratadine,Allergies hay fever,"Headache, dry mouth","10mg once daily","Avoid with certain antifungals",Allergies
Cetirizine,Allergies hives,"Drowsiness, fatigue","10mg once daily","Avoid with alcohol",Allergies
Fexofenadine,Allergies hay fever,"Headache, nausea","180mg once daily","Avoid with fruit juices",Allergies
Diphenhydramine,Allergies motion sickness,"Drowsiness, dry mouth","25-50mg every 4-6 hours","Avoid with alcohol or sedatives",Allergies
Epinephrine,Severe allergies anaphylaxis,"Heart palpitations, anxiety","0.3mg auto-injector as needed","Avoid with heart conditions",Allergies
Montelukast,Allergies asthma,"Headache, behavioral changes","10mg once daily","Avoid with phenobarbital",Allergies
Vitamin C,Immune support antioxidant,"Slight nausea if high dose","500-1000mg daily","Avoid with certain chemotherapies",Others
Zinc,Immune boost wound healing,"Nausea, metallic taste","15-30mg daily","Avoid with antibiotics",Others
Probiotics,Gut health digestion,"Bloating, gas","1-10 billion CFU daily","Avoid with immunosuppressants",Others
Melatonin,Sleep aid,"Daytime drowsiness, headache","1-5mg before bed","Avoid with blood thinners",Others
Caffeine,Energy alertness,"Insomnia, jitters","100-200mg per dose","Avoid with stimulants",Others
Echinacea,Immune support cold prevention,"Nausea, rash","300-500mg 3x daily","Avoid with immunosuppressants",Others
Ginger,Nausea digestion,"Heartburn, gas","1-2g daily","Avoid with blood thinners",Others
Turmeric,Anti-inflammatory antioxidant,"Stomach upset","500-2000mg daily","Avoid with blood thinners",Others
Fish Oil,Heart health omega-3,"Fishy aftertaste, bleeding risk","1000-2000mg daily","Avoid with blood thinners",Others
Multivitamin,Daily nutrient support,"Varies, minimal","1 tablet daily","Avoid with certain meds like antibiotics",Others
Iron Supplement,Anemia iron deficiency,"Constipation, nausea","18-65mg daily","Avoid with antacids or calcium",Others
Calcium,Bone health,"Constipation, kidney stones","1000-1200mg daily","Avoid with certain antibiotics",Others
Atorvastatin,High cholesterol,"Muscle pain, liver issues","10-80mg once daily","Avoid with grapefruit",Others
Sertraline,Depression anxiety,"Nausea, insomnia","50-200mg daily","Avoid with MAOIs, alcohol, other SSRIs",Mental Health
